CategoryKey,Level,LevelOrder,Category,CategoryBM,DivisionCode,Division,GroupCode,Group,ClassCode,Class,Path
overall,All items,1,All items,Semua item,overall,All items,,,,,
01,Division,2,Food & Beverages,Makanan & Minuman,01,Food & Beverages,,,,,Food & Beverages
02,Division,2,Alcoholic Beverages & Tobacco,Minuman Alkohol & Tembakau,02,Alcoholic Beverages & Tobacco,,,,,Alcoholic Beverages & Tobacco
03,Division,2,Clothing & Footwear,Pakaian & Kasut,03,Clothing & Footwear,,,,,Clothing & Footwear
04,Division,2,"Housing, Water, Electricity, Gas & Other Fuels","Perumahan, Air, Elektrik, Gas & Bahan Api Lain",04,"Housing, Water, Electricity, Gas & Other Fuels",,,,,"Housing, Water, Electricity, Gas & Other Fuels"
05,Division,2,"Furnishings, Household Equipment & Routine Household Maintenance","Hiasan, Perkakasan & Penyelenggaraan Isi Rumah",05,"Furnishings, Household Equipment & Routine Household Maintenance",,,,,"Furnishings, Household Equipment & Routine Household Maintenance"
06,Division,2,Health,Kesihatan,06,Health,,,,,Health
07,Division,2,Transport,Pengangkutan,07,Transport,,,,,Transport
08,Division,2,Information & Communication,Maklumat & Komunikasi,08,Information & Communication,,,,,Information & Communication
09,Division,2,"Recreation, Sport & Culture","Rekreasi, Sukan & Kebudayaan",09,"Recreation, Sport & Culture",,,,,"Recreation, Sport & Culture"
10,Division,2,Education,Pendidikan,10,Education,,,,,Education
11,Division,2,Restaurant & Accommodation Services,Restoran & Perkhidmatan Penginapan,11,Restaurant & Accommodation Services,,,,,Restaurant & Accommodation Services
12,Division,2,Insurance & Financial Services,Insurans & Perkhidmatan Kewangan,12,Insurance & Financial Services,,,,,Insurance & Financial Services
13,Division,2,"Personal Care, Social Protection & Miscellaneous Goods & Services","Penjagaan Diri, Perlindungan Sosial & Pelbagai Barangan & Perkhidmatan",13,"Personal Care, Social Protection & Miscellaneous Goods & Services",,,,,"Personal Care, Social Protection & Miscellaneous Goods & Services"
001,Group,3,Food away from home,Makanan di luar rumah,01,Food & Beverages,001,Food away from home,,,Food & Beverages › Food away from home
011,Group,3,Food at home,Makanan di rumah,01,Food & Beverages,011,Food at home,,,Food & Beverages › Food at home
012,Group,3,Non-alcoholic beverages,Minuman bukan alkohol,01,Food & Beverages,012,Non-alcoholic beverages,,,Food & Beverages › Non-alcoholic beverages
021,Group,3,Alcoholic beverages,Minuman keras/alkohol,02,Alcoholic Beverages & Tobacco,021,Alcoholic beverages,,,Alcoholic Beverages & Tobacco › Alcoholic beverages
023,Group,3,Tobacco,Tembakau,02,Alcoholic Beverages & Tobacco,023,Tobacco,,,Alcoholic Beverages & Tobacco › Tobacco
031,Group,3,Clothes,Pakaian,03,Clothing & Footwear,031,Clothes,,,Clothing & Footwear › Clothes
032,Group,3,Shoes,Kasut,03,Clothing & Footwear,032,Shoes,,,Clothing & Footwear › Shoes
041,Group,3,Actual rentals for housing,Sewa sebenar untuk kediaman,04,"Housing, Water, Electricity, Gas & Other Fuels",041,Actual rentals for housing,,,"Housing, Water, Electricity, Gas & Other Fuels › Actual rentals for housing"
043,Group,3,"Maintenance, repair & security of the dwelling","Penyelenggaran, pembaikan & keselamatan rumah kediaman",04,"Housing, Water, Electricity, Gas & Other Fuels",043,"Maintenance, repair & security of the dwelling",,,"Housing, Water, Electricity, Gas & Other Fuels › Maintenance, repair & security of the dwelling"
044,Group,3,Water supply & miscellaneous services relating to the dwelling,Bekalan air & pelbagai perkhidmatan berkaitan dengan rumah kediaman,04,"Housing, Water, Electricity, Gas & Other Fuels",044,Water supply & miscellaneous services relating to the dwelling,,,"Housing, Water, Electricity, Gas & Other Fuels › Water supply & miscellaneous services relating to the dwelling"
045,Group,3,"Electricity, gas & fuel","Elektrik, gas & bahan api",04,"Housing, Water, Electricity, Gas & Other Fuels",045,"Electricity, gas & fuel",,,"Housing, Water, Electricity, Gas & Other Fuels › Electricity, gas & fuel"
051,Group,3,"Furniture, furnishings & loose carpets","Perabot, kelengkapan & permaidani",05,"Furnishings, Household Equipment & Routine Household Maintenance",051,"Furniture, furnishings & loose carpets",,,"Furnishings, Household Equipment & Routine Household Maintenance › Furniture, furnishings & loose carpets"
052,Group,3,Household textiles,Tekstil isi rumah,05,"Furnishings, Household Equipment & Routine Household Maintenance",052,Household textiles,,,"Furnishings, Household Equipment & Routine Household Maintenance › Household textiles"
053,Group,3,Household appliances,Perkakas isi rumah,05,"Furnishings, Household Equipment & Routine Household Maintenance",053,Household appliances,,,"Furnishings, Household Equipment & Routine Household Maintenance › Household appliances"
054,Group,3,"Glassware, tableware & household utensils","Barang kaca, pinggan mangkuk & peralatan dapur isi rumah",05,"Furnishings, Household Equipment & Routine Household Maintenance",054,"Glassware, tableware & household utensils",,,"Furnishings, Household Equipment & Routine Household Maintenance › Glassware, tableware & household utensils"
055,Group,3,Tools & equipment for house & garden,Alat pertukangan & peralatan untuk rumah & kebun,05,"Furnishings, Household Equipment & Routine Household Maintenance",055,Tools & equipment for house & garden,,,"Furnishings, Household Equipment & Routine Household Maintenance › Tools & equipment for house & garden"
056,Group,3,Goods & services for routine household maintenance,Barangan & perkhidmatan penyelenggaran isi rumah,05,"Furnishings, Household Equipment & Routine Household Maintenance",056,Goods & services for routine household maintenance,,,"Furnishings, Household Equipment & Routine Household Maintenance › Goods & services for routine household maintenance"
061,Group,3,Medicines & health products,Ubat-ubatan & produk kesihatan,06,Health,061,Medicines & health products,,,Health › Medicines & health products
062,Group,3,Outpatient care services,Perkhidmatan penjagaan pesakit luar,06,Health,062,Outpatient care services,,,Health › Outpatient care services
063,Group,3,Inpatient care services,Perkhidmatan penjagaan pesakit dalam hospital,06,Health,063,Inpatient care services,,,Health › Inpatient care services
064,Group,3,Others health services,Perkhidmatan kesihatan lain,06,Health,064,Others health services,,,Health › Others health services
071,Group,3,Purchase of vehicles,Pembelian kenderaan,07,Transport,071,Purchase of vehicles,,,Transport › Purchase of vehicles
072,Group,3,Operation of personal transport equipment,Pengurusan peralatan pengangkutan persendirian,07,Transport,072,Operation of personal transport equipment,,,Transport › Operation of personal transport equipment
073,Group,3,Passenger transport services,Perkhidmatan pengangkutan awam,07,Transport,073,Passenger transport services,,,Transport › Passenger transport services
074,Group,3,Transport services of goods,Perkhidmatan pengangkutan barangan,07,Transport,074,Transport services of goods,,,Transport › Transport services of goods
081,Group,3,Information & communication equipment,Peralatan maklumat & komunikasi,08,Information & Communication,081,Information & communication equipment,,,Information & Communication › Information & communication equipment
083,Group,3,Information & communication services,Perkhidmatan maklumat & komunikasi,08,Information & Communication,083,Information & communication services,,,Information & Communication › Information & communication services
092,Group,3,Other recreational goods,Barangan rekreasi lain,09,"Recreation, Sport & Culture",092,Other recreational goods,,,"Recreation, Sport & Culture › Other recreational goods"
093,Group,3,Garden products & pets,Produk kebun & binatang peliharaan,09,"Recreation, Sport & Culture",093,Garden products & pets,,,"Recreation, Sport & Culture › Garden products & pets"
094,Group,3,Recreational services,Perkhidmatan rekreasi,09,"Recreation, Sport & Culture",094,Recreational services,,,"Recreation, Sport & Culture › Recreational services"
095,Group,3,Cultural goods,Barangan kebudayaan,09,"Recreation, Sport & Culture",095,Cultural goods,,,"Recreation, Sport & Culture › Cultural goods"
096,Group,3,Cultural services,Perkhidmatan kebudayaan,09,"Recreation, Sport & Culture",096,Cultural services,,,"Recreation, Sport & Culture › Cultural services"
