Date,DateKey,IsMonthStart,Year,Quarter,YearQuarter,MonthNumber,Month,YearMonth,MonthYear,IsLatest,IsPrePandemicBase
2010-01-01,20100101,True,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-02,20100102,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-03,20100103,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-04,20100104,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-05,20100105,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-06,20100106,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-07,20100107,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-08,20100108,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-09,20100109,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-10,20100110,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-11,20100111,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-12,20100112,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-13,20100113,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-14,20100114,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-15,20100115,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-16,20100116,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-17,20100117,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-18,20100118,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-19,20100119,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-20,20100120,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-21,20100121,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-22,20100122,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-23,20100123,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
2010-01-24,20100124,False,2010,Q1,2010 Q1,1,Jan,2010-01,Jan 2010,False,False
